PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Hao, ZZ; Taylor, M				Hao, Zezhuang; Taylor, Marika			Flat holography and celestial shockwaves	JOURNAL OF HIGH ENERGY PHYSICS			English	Article						AdS-CFT Correspondence; Renormalization and Regularization; Scattering Amplitudes; Effective Field Theories	ADS/CFT CORRESPONDENCE; GRAVITATIONAL WAVES; GENERAL RELATIVITY; STABILITY; RENORMALIZATION; ASYMPTOTICS; SYMMETRY; ENERGY	In this paper we systematically develop the flat/CFT holographic dictionary, building on AdS/CFT holography. After analysing the behaviour of scalar field modes on hyperbolic slices of Minkowski and performing the holographic renormalisation for the associated onshell action, we obtain a holography dictionary between the bulk theory and the corresponding dual theory on the celestial sphere. We propose that a single scalar field in the bulk is dual to two series of operators on the celestial sphere; the scaling dimension of these operators takes values on the principal series. The real time features of the bulk theory, such as the dynamical and the casual structure, are encoded in the construction of correlation functions on the boundary via the coefficients of the bulk modes. Moreover, we will see that the two series of operators can be interpreted as ingoing and outgoing waves in the bulk. We illustrate our dictionary with the example of a single shock wave. Our results lay foundations for further computation within the flat/celestial CFT correspondence.	[Hao, Zezhuang; Taylor, Marika] Univ Southampton, STAG Res Ctr, Southampton SO17 1BJ, England; [Taylor, Marika] Univ Southampton, Sch Math Sci, Southampton SO17 1BJ, England	University of Southampton; University of Southampton	Hao, ZZ (corresponding author), Univ Southampton, STAG Res Ctr, Southampton SO17 1BJ, England.	Z.Hao@soton.ac.uk; M.M.Taylor@soton.ac.uk			Science and Technology Facilities Council (Consolidated Grant "Exploring the Limits of the Standard Model and Beyond")	Science and Technology Facilities Council (Consolidated Grant "Exploring the Limits of the Standard Model and Beyond")	MT is supported in part by the Science and Technology Facilities Council (Consolidated Grant "Exploring the Limits of the Standard Model and Beyond"). ZH would like to thank his father Qinghe Hao and mother Xiulan Xu for providing funding for the tuition and accommodation fees when studying his PhD at the University of Southampton. ZH would also like to thank Federico Capone, Enrico Parisini and Kostas Skenderis for various discussions on celestial holography throughout the development of this work.		102	0	0	0	0	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	1029-8479			J HIGH ENERGY PHYS	J. High Energy Phys.	FEB 14	2024		2							90	10.1007/JHEP02(2024)090	http://dx.doi.org/10.1007/JHEP02(2024)090			52	Physics, Particles & Fields	Science Citation Index Expanded (SCI-EXPANDED)	Physics	HY8S9		gold, Green Submitted			2024-03-26	WOS:001163170700003
J	Wood, RJK; Mahmoodi, S				Wood, Robert J. K.; Mahmoodi, Sasan			Artificial intelligence machine learning applied to surface topography and pattern recognition	SURFACE TOPOGRAPHY-METROLOGY AND PROPERTIES			English	Editorial Material									[Wood, Robert J. K.] Univ Southampton, Sch Engn, Dept Mech Engn, Southampton, England; Univ Southampton, Sch Elect & Comp Sci ECS, Southampton, England	University of Southampton; University of Southampton	Wood, RJK (corresponding author), Univ Southampton, Sch Engn, Dept Mech Engn, Southampton, England.								6	0	0	0	0	IOP Publishing Ltd	BRISTOL	TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND	2051-672X			SURF TOPOGR-METROL	Surf. Topogr.-Metrol. Prop.	MAR 1	2024	12	1							010201	10.1088/2051-672X/ad2058	http://dx.doi.org/10.1088/2051-672X/ad2058			2	Engineering, Mechanical; Instruments & Instrumentation; Materials Science, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Instruments & Instrumentation; Materials Science	GW4T2					2024-03-26	WOS:001155703100001
J	Valgarosson, VO				Valgarosson, Viktor Orri			The recession generation? Age-period-cohort dynamics of political trust in six countries severely affected by the 2008 crisis	FRONTIERS IN POLITICAL SCIENCE			English	Article						political trust; generations; socialization; age-period-cohort analysis; public opinion	INTRINSIC ESTIMATOR APPROACH; ASSESSING VALIDITY; APPLICATION SCOPE; ECONOMIC-PERFORMANCE; NATIONAL DEMOCRACY; TURNOUT DECLINE; MIXED MODELS; LIFE-CYCLE; YANG; CONFIDENCE	A potential puzzle has emerged in the study of political trust: recent studies indicate that individuals' trust judgements are remarkably stable over their life course, but many other studies have observed long-term declines of trust in the aggregate. In particular, trust clearly declined substantially during and following the 2008 economic (and political) crisis in many European countries severely affected by it: especially Greece, Iceland, Ireland, Italy, Portugal and Spain. In this study, I focus on these countries and ask to what extent the crisis may have resulted in a "recession generation" of citizens who were in their formative years at the time and may have adopted less trusting political orientations that have persisted since, more or less independent of life-cycle and period effects. To answer this question, I present descriptive visualizations of trust levels by citizens' age over time and conduct statistical age-period-cohort (APC) analysis of political trust levels using generalized additive models (GAMs) on data from the Eurobarometer (1997-2022) and the European Values Study/World Values Survey (EVS/WVS). The findings are inconclusive: descriptive comparisons of age-by-year diagonals suggest this cohort of citizens may indeed have lower levels of trust than older and younger cohorts, above and beyond the effects of life cycle and period-but the results from GAMs differ between countries and data sources and only show the expected cohort effect in three cases. These tentative results have implications for our understanding of the nature of political trust judgements and the potential socializing effects of major political events on citizens attitude-formation, but they await confirmation in future studies which will have the benefit of longer-term data and potentially further innovations in APC analysis.	[Valgarosson, Viktor Orri] Univ Southampton, Dept Polit & Int Relat, Southampton, England	University of Southampton	Valgarosson, VO (corresponding author), Univ Southampton, Dept Polit & Int Relat, Southampton, England.	V.O.Valgardsson@soton.ac.uk			ESRC National Centre for Research Methods, University of Southampton10.13039/501100000613	ESRC National Centre for Research Methods, University of Southampton10.13039/501100000613	This paper is dedicated to Max Weigert, who contributed greatly to the development of this paper and was extremely kind and helpful to a total stranger (this author) who reached out to him when struggling with it.		101	0	0	0	0	FRONTIERS MEDIA SA	LAUSANNE	AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND		2673-3145		FRONT POLIT SCI	Front. Polit. Sci.	FEB 29	2024	6								1245666	10.3389/fpos.2024.1245666	http://dx.doi.org/10.3389/fpos.2024.1245666			13	International Relations; Political Science	Emerging Sources Citation Index (ESCI)	International Relations; Government & Law	KY9X2		gold			2024-03-26	WOS:001183657700001
J	Bradford, J; Connett, GJ				Bradford, Josie; Connett, Gary James			Clubbing and hypoxia in an adolescent male	ARCHIVES OF DISEASE IN CHILDHOOD			English	Article; Early Access						Paediatrics; Respiratory Medicine; Cardiology			[Bradford, Josie; Connett, Gary James] Univ Hosp Southampton NHS Fdn Trust, Southampton, England	University of Southampton; University Hospital Southampton NHS Foundation Trust	Connett, GJ (corresponding author), Univ Hosp Southampton NHS Fdn Trust, Southampton, England.	gary.connett@uhs.nhs.uk	Connett, Gary/AAU-3686-2020	Connett, Gary/0000-0003-1310-3239					2	0	0	0	0	BMJ PUBLISHING GROUP	LONDON	BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND	0003-9888	1468-2044		ARCH DIS CHILD	Arch. Dis. Child.	2024 FEB 26	2024										10.1136/archdischild-2024-326882	http://dx.doi.org/10.1136/archdischild-2024-326882		FEB 2024	1	Pediatrics	Science Citation Index Expanded (SCI-EXPANDED)	Pediatrics	KB7N2	38408859				2024-03-26	WOS:001177566600001
J	Ali, MNL; Bharucha, T; Kaarne, M; Hayes, N				Ali, Muhammad Najih Liaqath; Bharucha, Tara; Kaarne, Markku; Hayes, Nicholas			Inverted left atrial appendage mimicking potential left atrial thrombus in an infant following cardiac surgery: a case report	EUROPEAN HEART JOURNAL-CASE REPORTS			English	Article						Left atrium; Intracardiac mass; Appendage; Intussusception; Case report	SPONTANEOUS INVERSION; MASS	Background Inverted left atrial appendage (iLAA) is an infrequent complication following cardiac surgery, seen both in children and adults. Following a recent encounter, this review article is aimed to remind the reader about its occurrence, clinical manifestations, differential diagnoses, and management options.Case summary A 3-month-old baby underwent successful surgical repair of a large ventricular septal defect. Intraoperative epicardial echocardiogram at the end of the case demonstrated an unexpected left atrial mass, raising suspicion of a thrombus adjacent to the mitral valve. Urgent re-establishment of cardiopulmonary bypass and exploration of the left atrium did not reveal a thrombus, but this was subsequently identified as an iLAA. This completely resolved after manual external reduction of the appendage.Discussion Published literature is confined to case reports only, with most cases observed post-operatively, but some occurring spontaneously. Awareness of this unusual manifestation is particularly important in the intraoperative period as it can usually be addressed without the need for further cardiopulmonary bypass.	[Ali, Muhammad Najih Liaqath; Bharucha, Tara; Hayes, Nicholas] Univ Hosp Southampton NHS Fdn Trust, Dept Infect, Tremona Rd, Southampton SO16 6YD, England; [Kaarne, Markku] Univ Hosp Southampton NHS Fdn Trust, Dept Congenital Cardiac Surg, Southampton, England	University of Southampton; University Hospital Southampton NHS Foundation Trust; University of Southampton; University Hospital Southampton NHS Foundation Trust	Ali, MNL (corresponding author), Univ Hosp Southampton NHS Fdn Trust, Dept Infect, Tremona Rd, Southampton SO16 6YD, England.	lmdnajih@gmail.com							15	0	0	0	0	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND		2514-2119		EUR HEART J-CASE REP	Eur. Heart J.-Case Rep.	MAR 1	2024	8	3							ytae105	10.1093/ehjcr/ytae105	http://dx.doi.org/10.1093/ehjcr/ytae105			4	Cardiac & Cardiovascular Systems	Emerging Sources Citation Index (ESCI)	Cardiovascular System & Cardiology	LE0K3	38487588	gold			2024-03-26	WOS:001184983700003
J	Puckett, J; Sood, M; Newman-Taylor, K				Puckett, Joseph; Sood, Monica; Newman-Taylor, Katherine			Does insecure attachment lead to psychosis via dissociation? A systematic review of the literature	PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE			English	Review; Early Access						attachment; auditory hallucinations; dissociation; paranoia; psychosis; systematic review; voice hearing	ADULT ATTACHMENT; CHILDHOOD TRAUMA; STYLE; SELF; HALLUCINATIONS; SCHIZOPHRENIA; CONTINUUM; PRONENESS; SYMPTOMS; VALIDITY	PurposeInsecure attachment may constitute a vulnerability factor for psychosis, and dissociation may be a key mechanism in the development of auditory hallucinations specifically. While there is good evidence for the role of these processes in isolation, it is unclear whether dissociation accounts for the association between insecure attachment and psychosis. This systematic review takes a theory-driven approach to examine proposed causal relationships across the clinical and nonclinical literature.MethodsWe searched five databases (PubMeD, Web of Science, PsycINFO, CINAHL and ETHOS) for published and unpublished research examining attachment, dissociation and psychosis. Two independent reviewers extracted the data and assessed the quality of all included studies.ResultsWe identified 242 potential articles and included 13 in the final review (2096 participants). We found that (1) disorganised attachment was consistently associated with dissociation and inconsistently associated with voices and paranoia, (2) dissociation was associated with voices and paranoia, and these links were stronger in clinical samples, and (3) dissociation played a role in the impact of insecure attachment on voice hearing and paranoia in clinical groups.ConclusionsThis is the first review to synthesise the research examining attachment, dissociation, and psychosis. The evidence is consistent with proposed causal hypotheses and raises conceptual and measurement issues, for example, the need to clarify the relative contributions of different insecure attachment styles, and utilise behavioural/observational measures to strengthen study designs. Most importantly, we need experimental and longitudinal studies to confirm causal links and targets for treatment.	[Puckett, Joseph; Sood, Monica; Newman-Taylor, Katherine] Univ Southampton, Psychol Dept, Southampton, England; [Newman-Taylor, Katherine] Southern Hlth NHS Fdn Trust, Psychol Dept, Southampton, England; [Puckett, Joseph] Univ Southampton, Psychol Dept, Bldg 44,Highfield Campus, Southampton SO17 1BJ, England	University of Southampton; University of Southampton	Puckett, J (corresponding author), Univ Southampton, Psychol Dept, Bldg 44,Highfield Campus, Southampton SO17 1BJ, England.	j.f.puckett@soton.ac.uk		Newman-Taylor, Katherine/0000-0003-1579-7959; Sood, Monica/0000-0003-3242-7925					76	0	0	1	1	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1476-0835	2044-8341		PSYCHOL PSYCHOTHER-T	Psychol. Psychother.-Theory Res. Pract.	2024 FEB 15	2024										10.1111/papt.12521	http://dx.doi.org/10.1111/papt.12521		FEB 2024	21	Psychology, Clinical; Psychiatry; Psychology	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Psychology; Psychiatry	HW5L8	38358073	hybrid			2024-03-26	WOS:001162557800001
J	Young, N; Smith, ER; Hodgkin, K				Young, Nick; Smith, Emma Rawlings; Hodgkin, Kieran			Student engagement in the first year of university in Wales during COVID-19	JOURNAL OF FURTHER AND HIGHER EDUCATION			English	Article; Early Access						Student engagement; academic success; first year undergraduates; university transition; remote learning	HIGHER-EDUCATION; TECHNOLOGIES	This article reports on a study which evaluated five dimensions of first-year university students' engagement in Welsh universities during the COVID-19 pandemic. The study utilises a student engagement scale which was previously used with undergraduate students in Australian universities. Our findings provide insights on five dimensions of student engagement including academic, intellectual, peer, student-staff and online engagement which were explored during the COVID-19 pandemic. Findings indicate that the Student-Staff Engagement scale obtained the highest mean value, and the Academic Engagement Scale acquired the lowest score. The highest and lowest engagement-scale items in this study illustrates the shifting profile of first-year students who demonstrated contrasting study habits, forms of communication with peers and interactions with university staff to pre-pandemic students. The results also indicate that engagement is a complex concept and further work is required to better understand student engagement within contemporary universities which have embraced a hybrid mode of teaching and learning. The paper calls for a more robust theorising of the engagement concept and the authors of this article argue that the online dimension of student engagement requires expanding to mirror the experiences of undergraduates studying in the hybrid university.	[Young, Nick; Hodgkin, Kieran] Cardiff Metropolitan Univ, Cardiff Sch Educ & Social Policy, Cardiff, Wales; [Smith, Emma Rawlings] Univ Southampton, Southampton Educ Sch, Southampton, England; [Young, Nick] Cardiff Metropolitan Univ, Cardiff Sch Educ & Social Policy, Cyncoed Rd, Cardiff CF23 6XD, Wales	Cardiff Metropolitan University; University of Southampton; Cardiff Metropolitan University	Young, N (corresponding author), Cardiff Metropolitan Univ, Cardiff Sch Educ & Social Policy, Cyncoed Rd, Cardiff CF23 6XD, Wales.	nyoung@cardiffmet.ac.uk			Welsh Government	Welsh Government	The work was supported by the Welsh Government .		40	0	0	0	0	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0309-877X	1469-9486		J FURTH HIGHER EDUC	J. Furth Higher Education	2024 MAR 10	2024										10.1080/0309877X.2024.2327031	http://dx.doi.org/10.1080/0309877X.2024.2327031		MAR 2024	13	Education & Educational Research	Emerging Sources Citation Index (ESCI)	Education & Educational Research	KN8X0		hybrid			2024-03-26	WOS:001180747600001
J	Biswas, S; Govardhan, RN				Biswas, Subhajit; Govardhan, Raghuraman N.			Effects of salt concentration on top wall bubble injection in a turbulent channel flow: bubble dynamics and wall drag reduction	EXPERIMENTS IN FLUIDS			English	Article							SKIN-FRICTION; BOUNDARY-LAYER; FRESH-WATER; COALESCENCE; AIR; ELECTROLYTES; TRANSITION; SINGLE; MODEL; LADEN	Most applications related to bubble drag reduction (BDR) occur in contaminated environments where the presence of different surface active agents modify bubble coalescence and hence, affect flow drag. Although there have been studies on bubble drag modifications with salt/surfactant, the effects of systematic variation in salt/surfactant concentration on bubble dynamics and drag remain relatively unexplored. Driven by this motivation, in the present work, we experimentally investigate the effects of salt concentration on the bubble dynamics and drag modification in a fully developed horizontal turbulent channel flow for top wall bubble injection, over a wide range of salt concentrations (0<M<0.08\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$0<M<0.08$$\end{document}, moles/litre), channel Reynolds number (22,500<Re<65,000\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$22{,}500<\text{Re}<65{,}000$$\end{document}), and injected bubble void fraction (0<alpha<0.16\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$0<\alpha <0.16$$\end{document}). The injected bubbles interact with the flow in the turbulent channel and as they move downstream reach an equilibrium state between the bubbly phase and the fully developed carrier phase that persists further downstream. The equilibrium state of the bubble dynamics is captured by high-speed visualizations and the corresponding drag is obtained from stream-wise pressure drop measurements within the channel. Increasing salt concentration levels is seen to lead to reduction in bubble coalescence and consequently in bubble size that modifies bubble deformability, migration, and distribution near the top wall, with the changes being dependent on the Re and alpha\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\alpha$$\end{document} values. At low Re approximate to 22,500\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\text{Re} \approx 22{,}500$$\end{document}, the addition of salt leads to a dramatic reduction in bubble sizes (similar to 100\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\sim 100$$\end{document} microns) from the very large coalesced bubbles (similar to\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\sim$$\end{document} cm) seen in the no-salt cases, with consequent changes in the bubble dynamics and increased drag (up to approximate to 70%\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\approx 70\%$$\end{document}). The reduction in bubble sizes with salt addition leads to an increase in drag with salt concentration, which saturates beyond a critical salt concentration (MCritical\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$M_\text{Critical}$$\end{document}). With increasing Re, due to the smaller time available for coalescence, the bubbles are relatively small even in the absence of salt and hence, the bubble dynamics is found to be less susceptible to modifications by the addition of salt, unlike at low Re, and hence, results in a smaller increase in drag and a lower MCritical\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$M_\text{Critical}$$\end{document}. At the largest Re of about 65,000, both the bubble dynamics and drag are found to be very similar in both the no-salt and salt cases indicating that MCritical approximate to 0\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$M_\text{Critical}\approx 0$$\end{document}. The present observations suggest that at low Re, the bubble dynamics aspects and flow modifications would be very different between salt water and fresh water conditions, whereas at large Re, the differences would be minimal. The present results can thus help deepen our understanding of bubbly flow applications in contaminated environments, such as those that occur in bubble-induced drag reductions in ships and pipelines.	[Biswas, Subhajit] Univ Southampton, Dept Aeronaut & Astronaut, Southampton SO17 1BJ, England; [Biswas, Subhajit; Govardhan, Raghuraman N.] Indian Inst Sci, Dept Mech Engn, Bangalore 560012, India	University of Southampton; Indian Institute of Science (IISC) - Bangalore	Govardhan, RN (corresponding author), Indian Inst Sci, Dept Mech Engn, Bangalore 560012, India.	sbiswas.iisc@gmail.com; rng@iisc.ac.in			Science and Engineering Research Board	Science and Engineering Research Board	We are thankful to Manoj Dixit and Chiranjeevi Sadana for all their help with the experiments.		61	0	0	2	2	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	0723-4864	1432-1114		EXP FLUIDS	Exp. Fluids	MAR	2024	65	3							34	10.1007/s00348-024-03770-8	http://dx.doi.org/10.1007/s00348-024-03770-8			22	Engineering, Mechanical; Mechanics	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Mechanics	IX7F4					2024-03-26	WOS:001169696800001
J	Baker, EJ				Baker, Ella J.			Alternative sources of bioactive omega-3 fatty acids: what are the options?	CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE			English	Review						algal oil; docosahexaenoic acid; eicosapentaenoic acid; genetically modified oil; omega-3; stearidonic acid; sustainability	POLYUNSATURATED FATTY-ACIDS; ALPHA-LINOLENIC ACID; LONG-CHAIN N-3; STEARIDONIC ACID; CARDIOVASCULAR-DISEASE; EICOSAPENTAENOIC ACID; DOCOSAHEXAENOIC ACID; DIETARY SUPPLEMENTATION; OMEGA-3 INDEX; RISK-FACTORS	Purpose of reviewThe very-long chain (VLC) omega-3 polyunsaturated fatty acids (PUFAs) eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) promote optimal development, physiological function and healthy ageing and help to manage disease. EPA and DHA are sourced mainly from fish, which is not sustainable. This review explores alternative sustainable sources.Recent findingsRecent research confirms that higher intake and status of EPA and DHA are associated with health benefits including lower risk of incident type-2 diabetes and cardiovascular disease mortality. Meta-analyses confirm benefits of intravenous EPA and DHA in hospitalized adults. Algal oils and seed oils from some genetically modified (GM) plants are sources of EPA and DHA. An oil from GM camelina showed equivalence with fish oil in human trials. Ahiflower oil, a source of stearidonic acid, had biological effects in experimental studies that might translate into health benefits. An intravenous lipid emulsion based on Ahiflower oil has been tested in experimental research. Pine nut oil (PNO) is a source of pinolenic acid, which is not an omega-3 PUFA but has similar actions.SummaryAlgal oils, oils from GM seed crops, Ahiflower oil and other sources of stearidonic acid, and nonomega-3 oils including PNO, are plant-sourced sustainable alternatives to fish-sourced VLC omega-3 PUFAs.	[Baker, Ella J.] Univ Hosp Southampton NHS Fdn Trust, Fac Med, Sch Human Dev & Hlth, Southampton, England; [Baker, Ella J.] Univ Hosp Southampton NHS Fdn Trust, NIHR Southampton Biomed Res Ctr, Southampton, England; [Baker, Ella J.] Univ Southampton, Southampton, England; [Baker, Ella J.] Univ Southampton, Fac Med, Sch Human Dev & Hlth, IDS Bldg,MP887 Southampton Gen Hosp,Tremona Rd, Southampton SO16 6YD, England	University of Southampton; University Hospital Southampton NHS Foundation Trust; University of Southampton; University Hospital Southampton NHS Foundation Trust; University of Southampton; University of Southampton	Baker, EJ (corresponding author), Univ Southampton, Fac Med, Sch Human Dev & Hlth, IDS Bldg,MP887 Southampton Gen Hosp,Tremona Rd, Southampton SO16 6YD, England.	e.baker@soton.ac.uk		Baker, Ella/0000-0003-1008-5506	NIHR Southampton Biomedical Research Centre	NIHR Southampton Biomedical Research Centre	E.J.B. is funded by the NIHR Southampton Biomedical Research Centre. E.J.B. wishes to thank Prof. Philip Calder for a discussion on the content of this article.		91	1	1	1	1	LIPPINCOTT WILLIAMS & WILKINS	PHILADELPHIA	TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA	1363-1950	1473-6519		CURR OPIN CLIN NUTR	Curr. Opin. Clin. Nutr. Metab. Care	MAR	2024	27	2					106	115		10.1097/MCO.0000000000001006	http://dx.doi.org/10.1097/MCO.0000000000001006			10	Endocrinology & Metabolism; Nutrition & Dietetics	Science Citation Index Expanded (SCI-EXPANDED)	Endocrinology & Metabolism; Nutrition & Dietetics	HG4T7	38126230				2024-03-26	WOS:001158333400006
J	Tunalioglu, MN; Karatas-Ozkan, M; Costanzo, LA; Baruch, Y				Tunalioglu, Melike N.; Karatas-Ozkan, Mine; Costanzo, Laura A.; Baruch, Yehuda			Extending the boundaries of academic entrepreneurship: demonstrating the instrumentality of new logics for addressing social inclusion	JOURNAL OF TECHNOLOGY TRANSFER			English	Article; Early Access						Academic entrepreneurship; Diversity; Social inclusion; Institutional logics; M14; O32; O35	TECHNOLOGY-TRANSFER OFFICES; INSTITUTIONAL LOGICS; UNIVERSITY-RESEARCH; EDUCATION; COMPLEXITY; ORGANIZATIONS; ENTERPRISE; INNOVATION; RESPONSES; IDENTITY	Academic entrepreneurship (AE) has gained widespread acclaim globally for bridging the gap between academia and industry, as well as addressing the issue of socio-economic inclusion and the impact of research. In this paper, we both relate to, and extend scholarly work in the domains of AE and social inclusion by investigating the process of AE from an interplay of institutional logics perspective, with an emphasis on the diversity strands to which academic entrepreneurs belong. Drawing on extensive fieldwork of 55 academic researchers affiliated with 6 UK universities, our findings highlight the co-existence of profession, science logic and market logic, combined with the new logics that we introduce-diversity and impact logics-in capturing value through AE for addressing social inclusion. We make an empirical and theoretical contribution by demonstrating the instrumentality of these logics as enablers and constraints on the process of AE. We also advance the theory on logics and AE by demonstrating how the intersection of logics creates different kinds of salient points and pressures for academics and university policy makers. Closely linked to this, we make policy contributions by putting forward policy insights that are bottom-up and tailored based on a thorough understanding of the experiences and views of academic entrepreneurs.	[Tunalioglu, Melike N.] Univ Portsmouth, Portsmouth Business Sch, Richmond Bldg,Portland St, Portsmouth PO13DE, England; [Karatas-Ozkan, Mine; Costanzo, Laura A.; Baruch, Yehuda] Univ Southampton, Southampton Business Sch, Univ Rd,Highfield, Southampton SO17 1BJ, England	University of Portsmouth; University of Southampton	Karatas-Ozkan, M (corresponding author), Univ Southampton, Southampton Business Sch, Univ Rd,Highfield, Southampton SO17 1BJ, England.	melike.tunalioglu@port.ac.uk; mko@soton.ac.uk; L.A.Costanzo@soton.ac.uk; Y.Baruch@soton.ac.uk		Karatas-Ozkan, Mine/0000-0002-9199-4156					82	0	0	2	2	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	0892-9912	1573-7047		J TECHNOL TRANSFER	J. Technol. Transf.	2024 FEB 23	2024										10.1007/s10961-023-10059-1	http://dx.doi.org/10.1007/s10961-023-10059-1		FEB 2024	24	Engineering, Industrial; Management	Social Science Citation Index (SSCI)	Engineering; Business & Economics	IT7M6					2024-03-26	WOS:001168652600001
