"title","type","genre","pages","year","publisher"
"The Da Vinci Code","Fiction","Thriller",489,2003,"Doubleday"
"Jerusalem: A Cookbook","Non-fiction","Cookery",320,2012,"Ten Speed Press"
"The Girl with the Dragon Tattoo","Fiction","Thriller",465,2005,"Norstedts Förlag"
"Wild","Non-fiction","Travel",315,2012,"Alfred A. Knopf"
"The Way of Kings","Fiction","Fantasy",1007,2010,"Tor Books"
"The Fearful Void","Non-fiction","Travel",278,1974,"Hodder & Stoughton"
"The Art of Simple Food","Non-fiction","Cookery",416,2007,"Clarkson Potter"
"The Autobiography of Bertrand Russell","Non-fiction","Biography",750,1967,"George Allen & Unwin"
"The Innocents Abroad","Non-fiction","Travel",651,1869,"American Publishing Company"
"The Colour of Magic","Fiction","Fantasy",288,1983,"Colin Smythe"
"The Autobiography of Malcolm X","Non-fiction","Biography",466,1965,"Grove Press"
"Larousse Gastronomique","Non-fiction","Cookery",1206,1938,"Éditions"
"The Lost City of Z","Non-fiction","Travel",352,2009,"Doubleday"
"Alexander Hamilton","Non-fiction","Biography",818,2004,"Penguin Press"
"The Great Railway Bazaar","Non-fiction","Travel",342,1975,"Houghton Mifflin"
"The Travels of Ibn Battutah","Non-fiction","Travel",325,1355,"N/A"
"Dune","Fiction","Science Fiction",688,1965,"Chilton Books"
"How to Cook Everything","Non-fiction","Cookery",944,1998,"Macmillan"
"Hyperion","Fiction","Science Fiction",482,1989,"Doubleday"
"The War of the Worlds","Fiction","Science Fiction",192,1898,"William Heinemann"
"Wuthering Heights","Fiction","Literature",464,1847,"Thomas Cautley Newby"
"Pride and Prejudice","Fiction","Literature",279,1813,"Thomas Egerton"
"The Hunt for Red October","Fiction","Thriller",387,1984,"Naval Institute Press"
"A Game of Thrones","Fiction","Fantasy",694,1996,"Bantam Spectra"
"Neuromancer","Fiction","Science Fiction",271,1984,"Ace"
"Blue Highways","Non-fiction","Travel",428,1982,"Little, Brown and Company"
"Long Walk to Freedom","Non-fiction","Biography",656,1994,"Little, Brown and Company"
"The Picture of Dorian Gray","Fiction","Literature",254,1890,"Ward, Lock & Bowden Limited"
"The Story of My Life","Non-fiction","Biography",441,1903,"Doubleday, Page & Co."
"The Zuni Cafe Cookbook","Non-fiction","Cookery",288,2002,"W. W. Norton & Company"
"The Moosewood Cookbook","Non-fiction","Cookery",221,1977,"Ten Speed Press"
"The Great Gatsby","Fiction","Literature",180,1925,"Charles Scribner's Sons"
"Brave New World","Fiction","Science Fiction",311,1932,"Chatto & Windus"
"The Hitchhiker's Guide to the Galaxy","Fiction","Science Fiction",224,1979,"Pan Books"
"The Autobiography of Eleanor Roosevelt","Non-fiction","Biography",454,1961,"Harper & Brothers"
"A Short Walk in the Hindu Kush","Non-fiction","Travel",256,1958,"Secker and Warburg"
"The Left Hand of Darkness","Fiction","Science Fiction",304,1969,"Ace Books"
"The Greens Cookbook","Non-fiction","Cookery",396,1987,"Bantam Books"
"The Power Broker","Non-fiction","Biography",1336,1974,"Alfred A. Knopf"
"The Autobiography of Mark Twain","Non-fiction","Biography",560,2010,"University of California Press"
"The Last Lion: Winston Spencer Churchill","Non-fiction","Biography",992,1983,"Little, Brown and Company"
"The Barefoot Contessa Cookbook","Fiction","Cooking",256,1999,"Clarkson Potter"
"The Hunt for Red October","Fiction","Thriller",387,1984,"Naval Institute Press"
"The Diary of a Young Girl","Non-fiction","Biography",283,1947,"Contact Publishing"
"The Day of the Jackal","Fiction","Thriller",380,1971,"Hutchinson"
"The French Laundry Cookbook","Non-fiction","Cookery",336,1999,"Artisan"
"The Pioneer Woman Cooks","Non-fiction","Cookery",256,2009,"William Morrow Cookbooks"
"The Joy of Cooking","Fiction","Cooking",1152,1931,"Bobbs-Merrill"
"Gone Girl","Fiction","Thriller",432,2012,"Crown Publishing Group"
"The Taste of Country Cooking","Non-fiction","Cookery",268,1976,"Alfred A. Knopf"
"Mistborn: The Final Empire","Fiction","Fantasy",541,2006,"Tor Books"
"Vegetarian Cooking for Everyone","Non-fiction","Cookery",752,1997,"Broadway Books"
"The Silver Palate Cookbook","Fiction","Cooking",464,1982,"Workman Publishing"
"The Autobiography of Giambattista Vico","Non-fiction","Biography",240,1725,"N/A"
"Essentials of Classic Italian Cooking","Fiction","Cooking",704,1992,"Alfred A. Knopf"
"The Autobiography of Benjamin Franklin","Non-fiction","Biography",192,1791,"F. Newbery"
"The Smitten Kitchen Cookbook","Non-fiction","Cookery",336,2012,"Alfred A. Knopf"
"The Name of the Wind","Fiction","Fantasy",662,2007,"DAW Books"
"Mastering the Art of French Cooking","Non-fiction","Cookery",684,1961,"Alfred A. Knopf"
"The Lord of the Rings","Fiction","Fantasy",1178,1954,"George Allen & Unwin"
"One Hundred Years of Solitude","Fiction","Literature",417,1967,"Editorial Sudamericana"
"The Road to Oxiana","Non-fiction","Travel",320,1937,"Macmillan"
"A Walk in the Woods","Non-fiction","Travel",274,1998,"Broadway Books"
"The Eye of the World","Fiction","Fantasy",814,1990,"Tor Books"
"The Worst Journey in the World","Non-fiction","Travel",578,1922,"Constable"
"The Lion the Witch and the Wardrobe","Fiction","Fantasy",208,1950,"Geoffrey Bles"
