(OG=(University of Southampton)) AND PY=(2018-2024) and Associated Data (Exclude) and Enriched Cited References (Exclude) and Open publisher-invited reviews (Exclude) and Biographical-Item or Book Review (Exclude â Document Types) and 2018-2024 (Publication Years)
Timespan: 2018-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Quantitative and qualitative aspects of lipids and lipoproteins in health and disease: nutrition, physiology and genetics","Calder, Philip C.; Watts, Gerald F.","","","","CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE","MAR 2024","2024","27","2","","","","87","90","","10.1097/MCO.0000000000001015","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Editorial introductions","Calder, Philip C.; Watts, Gerald; Casaer, Michael; Deane, Adam","","","","CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE","MAR 2024","2024","27","2","","","","","","","10.1097/MCO.0000000000001011","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A Systematic Review and Meta-Analysis of the Pathology Underlying Aneurysm Enhancement on Vessel Wall Imaging","Digpal, Ronneil; Arkill, Kenton P.; Doherty, Regan; Yates, Joseph; Milne, Lorna K.; Broomes, Nicole; Katsamenis, Orestis L.; Macdonald, Jason; Ditchfield, Adam; Narata, Ana Paula; Darekar, Angela; Carare, Roxana O.; Fabian, Mark; Galea, Ian; Bulters, Diederik","","","","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","MAR 2024","2024","25","5","","","","","","2700","10.3390/ijms25052700","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Secondary (additional) findings from the 100,000 Genomes Project: Disease manifestation, health care outcomes, and costs of disclosure","Nolan, Joshua; Buchanan, James; Taylor, John; Almeida, Joao; Bedenham, Tina; Blair, Edward; Broadgate, Suzanne; Butler, Samantha; Cazeaux, Angela; Craft, Judith; Cranston, Treena; Crawford, Gillian; Forrest, Jamie; Gabriel, Jessica; George, Elaine; Gillen, Donna; Haeger, Ash; Ward, Jillian Hastings; Hawkes, Lara; Hodgkiss, Claire; Hoffman, Jonathan; Jones, Alan; Karpe, Fredrik; Kasperaviciute, Dalia; Kovacs, Erika; Leigh, Sarah; Limb, Elizabeth; Lloyd-Jani, Anjali; Lopez, Javier; Lucassen, Anneke; McFarlane, Carlos; O'Reurke, Anthony W.; Pond, Emily; Sherman, Catherine; Stewart, Helen; Thomas, Ellen; Thomas, Simon; Thomas, Tessy; Thomson, Kate; Wakelin, Hannah; Walker, Susan; Watson, Melanie; Williams, Eleanor; Ormondroyd, Elizabeth","","","","GENETICS IN MEDICINE","MAR 2024","2024","26","3","","","","","","101051","10.1016/j.gim.2023.101051","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Should endoscopic laser excision be offered as the first-line management for patients with eroded mesh? Outcomes of a systematic review of literature","Ripa, Francesco; Enikeev, Dmitry; Talyshinskii, Ali; Juliebo-Jones, Patrick; Tzelves, Lazaros; Kallidonis, Panagiotis; Somani, Bhaskar","","","","CURRENT OPINION IN UROLOGY","MAR 2024","2024","34","2","","","","135","144","","10.1097/MOU.0000000000001146","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Linear Quadratic Gaussian Control for a Liquid-Carrying Quadrotor","Soltani, Ali; Bajestani, Amirhossein Vahidi","","","","IRANIAN JOURNAL OF SCIENCE AND TECHNOLOGY-TRANSACTIONS OF ELECTRICAL ENGINEERING","MAR 2024","2024","48","1","","","","395","408","","10.1007/s40998-023-00657-y","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Evaluating the environmental impact of agri-food waste reduction: A bibliographic analysis and conceptual framework","Wang, Haorui; Luo, Na; Liu, Yanping; Gong, Yu","","","","ENVIRONMENTAL IMPACT ASSESSMENT REVIEW","MAR 2024","2024","105","","","","","","","107425","10.1016/j.eiar.2024.107425","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Artificial intelligence machine learning applied to surface topography and pattern recognition","Wood, Robert J. K.; Mahmoodi, Sasan","","","","SURFACE TOPOGRAPHY-METROLOGY AND PROPERTIES","MAR 1 2024","2024","12","1","","","","","","010201","10.1088/2051-672X/ad2058","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Red Blood Cells in the Cerebrospinal Fluid Compartment After Subarachnoid Haemorrhage: Significance and Emerging Therapeutic Strategies","Bandyopadhyay, Soham; Schwendinger, Nina; Jahromi, Behnam Rezai; Lad, Shivanand P.; Blackburn, Spiros; Wolf, Stefan; Bulters, Diederik; Galea, Ian; Hugelshofer, Michael","","","","TRANSLATIONAL STROKE RESEARCH","","2024","","","","","","","","","10.1007/s12975-024-01238-9","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Thermal physiology is a (wo)man&apos;s world!","Filingeri, Davide; Blount, Hannah; Ward, Jade","","","","JOURNAL OF PHYSIOLOGY-LONDON","MAR 2024","2024","602","5","","","","769","770","","10.1113/JP286333","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Creating pathways for collaboration between Argentina and the UK to utilise microbial biofilms in sustainable agriculture","Abdian, Patricia L.; Camara, Miguel; Cassan, Fabricio D.; Castrillo, Gabriel; Diaz, Marisa; Anta, Gustavo Gonzalez; Hodge, Claire; Slater-Jefferies, Jo; MacPhee, Cait E.; Moriconi, Enzo; Rakowska, Paulina D.; Raval, Rasmita; Ross, Duncan; Sandoval, Juan F.; Serra, Diego O.; Valverde, Claudio; Webb, Jeremy; Winters, Ana","","","","CABI AGRICULTURE & BIOSCIENCE","FEB 28 2024","2024","5","1","","","","","","23","10.1186/s43170-024-00227-0","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Music therapy for supporting informal carers of adults with life-threatening illness pre- and post-bereavement; a mixed-methods systematic review","Gillespie, K.; Mcconnell, T.; Roulston, A.; Potvin, N.; Ghiglieri, C.; Gadde, I.; Anderson, M.; Kirkwood, J.; Thomas, D.; Roche, L.; O.'Sullivan, M.; Mccullagh, A.; Graham-Wisener, L.","","","","BMC PALLIATIVE CARE","FEB 27 2024","2024","23","1","","","","","","55","10.1186/s12904-024-01364-z","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Genomic insight into the origin, domestication, dispersal, diversification and human selection of Tartary buckwheat","He, Yuqi; Zhang, Kaixuan; Shi, Yaliang; Lin, Hao; Huang, Xu; Lu, Xiang; Wang, Zhirong; Li, Wei; Feng, Xibo; Shi, Taoxiong; Chen, Qingfu; Wang, Junzhen; Tang, Yu; Chapman, Mark A.; Germ, Mateja; Luthar, Zlata; Kreft, Ivan; Janovska, Dagmar; Meglic, Vladimir; Woo, Sun-Hee; Quinet, Muriel; Fernie, Alisdair R.; Liu, Xu; Zhou, Meiliang","","","","GENOME BIOLOGY","FEB 27 2024","2024","25","1","","","","","","61","10.1186/s13059-024-03203-z","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Clubbing and hypoxia in an adolescent male","Bradford, Josie; Connett, Gary James","","","","ARCHIVES OF DISEASE IN CHILDHOOD","","2024","","","","","","","","","10.1136/archdischild-2024-326882","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Revisiting operations agility and formalizing digitalization in response to varying levels of uncertainty and customization","Saghiri, Soroosh; Mohammadipour, Maryam; Mirzabeiki, Vahid","","","","PRODUCTION PLANNING & CONTROL","","2024","","","","","","","","","10.1080/09537287.2024.2321290","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pre-problem families: predictive analytics and the future as the present","Edwards, Rosalind; Gillies, Val; Gorin, Sarah; Vannier-Ducasse, Helene","","","","FAMILIES RELATIONSHIPS AND SOCIETIES","","2024","","","","","","","","","10.1332/20467435Y2024D000000013","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fetuses are not adult humans: a response to Miller on abortion","Saunders, Ben","","","","JOURNAL OF MEDICAL ETHICS","","2024","","","","","","","","","10.1136/jme-2024-109854","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Coronary artery anomalies and the role of echocardiography in pre-participation screening of athletes: a practical guide","Bhatia, Raghav T.; Forster, Jan; Ackrill, Melanie; Chatrath, Nikhil; Finocchiaro, Gherardo; Fyyaz, Saad; Maclachlan, Hamish; Malhotra, Aneil; Marwaha, Sarandeep; Papadakis, Michael; Ring, Liam; Sharma, Sanjay; Oxborough, David; Rakhit, Dhrubo","","","","ECHO RESEARCH AND PRACTICE","FEB 22 2024","2024","11","1","","","","","","5","10.1186/s44156-024-00041-4","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quark-lepton mass relations from modular flavor symmetry","Chen, Mu-Chun; King, Stephen F.; Medina, Omar; Valle, Jose W. F.","","","","JOURNAL OF HIGH ENERGY PHYSICS","FEB 22 2024","2024","","2","","","","","","160","10.1007/JHEP02(2024)160","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Attention-deficit/hyperactivity disorder","Faraone, Stephen V.; Bellgrove, Mark A.; Brikell, Isabell; Cortese, Samuele; Hartman, Catharina A.; Hollis, Chris; Newcorn, Jeffrey H.; Philipsen, Alexandra; Polanczyk, Guilherme V.; Rubia, Katya; Sibley, Margaret H.; Buitelaar, Jan K.","","","","NATURE REVIEWS DISEASE PRIMERS","FEB 22 2024","2024","10","1","","","","","","11","10.1038/s41572-024-00495-0","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ensemble Effects on Methanol Oxidation to Formaldehyde on Ferric Molybdate Catalysts","Bowker, Michael; House, Matthew; Brookes, Catherine; Hellier, Pip; Wells, Peter","","","","CHEMCATCHEM","","2024","","","","","","","","","10.1002/cctc.202301464","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Public Health, Internal Borders, and the Ends of Federalism","Da Silva, Michael","","","","CANADIAN JOURNAL OF LAW AND SOCIETY","","2024","","","","","","","","","10.1017/cls.2023.22","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Diabetes and infection: review of the epidemiology, mechanisms and principles of treatment","Holt, Richard I. G.; Cockram, Clive S.; Ma, Ronald C. W.; Luk, Andrea O. Y.","","","","DIABETOLOGIA","","2024","","","","","","","","","10.1007/s00125-024-06102-x","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Room Temperature Hydrogenation of CO<sub>2</sub> Utilizing a Cooperative Phosphorus Pyridone-Based Iridium Complex","Siangwata, Shepherd; Hamilton, Alex; Tizzard, Graham J.; Coles, Simon J.; Owen, Gareth R.","","","","CHEMCATCHEM","","2024","","","","","","","","","10.1002/cctc.202301627","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neonatal brain magnetic resonance imaging: clinical indications, acquisition and reporting","Austin, Topun; Connolly, Daniel; Dinwiddy, Kate; Hart, Anthony Richard; Heep, Axel; Harigopal, Sundeep; Joy, Harriet; Luyt, Karen; Malamateniou, Christina; Merchant, Nazakat; Rizava, Chrysoula; Rutherford, Mary A.; Spike, Kelly; Vollmer, Brigitte; Boardman, James P.","","","","ARCHIVES OF DISEASE IN CHILDHOOD-FETAL AND NEONATAL EDITION","","2024","","","","","","","","","10.1136/archdischild-2023-326747","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Is ureteroscopy and active stone treatment safe and effective in octogenarians? A review of current literature","Bhatnagar, Daksh; Nedbal, Carlotta; Somani, Bhaskar Kumar","","","","ARAB JOURNAL OF UROLOGY","","2024","","","","","","","","","10.1080/20905998.2024.2320028","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airway epithelial cell cilia transcriptomic dysregulation is associated with the inflammatory phenotype in asthma","Devilliers, Maeva A.; Brisebarre, Audrey; Petit, Laure M. G.; Polette, Myriam; Deslee, Gaetan; Djukanovic, Ratko; Dormoy, Valerian; Perotin, Jeanne-Marie","U BIOPRED Consortium","","","ALLERGY","","2024","","","","","","","","","10.1111/all.16063","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cultural Myths, Superstitions, and Stigma Surrounding Dementia in a UK Bangladeshi Community","Hussain, Nazmul; Clark, Andrew; Innes, Anthea","","","","HEALTH & SOCIAL CARE IN THE COMMUNITY","FEB 19 2024","2024","2024","","","","","","","8823063","10.1155/2024/8823063","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quadratic Optimization Models for Balancing Preferential Access and Fairness: Formulations and Optimality Conditions","Schmitt, Christian; Singh, Bismark","","","","INFORMS JOURNAL ON COMPUTING","","2024","","","","","","","","","10.1287/ijoc.2022.0308","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The impact of indoor pollution on asthma-related outcomes: A systematic review for the EAACI guidelines on environmental science for allergic diseases and asthma","Agache, Ioana; Canelo-Aybar, Carlos; Annesi-Maesano, Isabella; Cecchi, Lorenzo; Biagioni, Benedetta; Chung, Fan; D'Amato, Gennaro; Damialis, Athanasios; Del Giacco, Stefano; De las Vecillas, Leticia; Dominguez-Ortega, Javier; Galan, Carmen; Gilles, Stefanie; Giovannini, Mattia; Holgate, Stephen; Jeebhay, Mohamed; Nadeau, Kari; Papadopoulos, Nikos; Quirce, Santiago; Sastre, Joaquin; Traidl-Hoffmann, Claudia; Walusiak-Skorupa, Jolanta; Sousa-Pinto, Bernardo; Salazar, Josefina; Rodriguez-Tanta, L. Yesenia; Cantero, Yahveth; Montesinos-Guevara, Camila; Song, Yang; Alvarado-Gamarra, Giancarlo; Sola, Ivan; Alonso-Coello, Pablo; Nieto-Gutierrez, Wendy; Jutel, Marek; Akdis, Cezmi A.","","","","ALLERGY","","2024","","","","","","","","","10.1111/all.16051","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Goal setting and goal attainment in patients with major depressive disorder: a narrative review on shared decision making in clinical practice","Baldwin, David S.; Adair, Michael; Micheelsen, Arun; Astrom, Daniel Oudin; Reines, Elin H.","","","","CURRENT MEDICAL RESEARCH AND OPINION","","2024","","","","","","","","","10.1080/03007995.2024.2313108","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Review of studies on risk factors in critical infrastructure projects from 2011 to 2023","Al-Mhdawi, M. K. S.; O'connor, Alan; Qazi, Abroon; Rahimian, Farzad; Dacre, Nicholas","","","","SMART AND SUSTAINABLE BUILT ENVIRONMENT","","2024","","","","","","","","","10.1108/SASBE-09-2023-0285","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Preface to resurgent asymptotics, Painleve equations and quantum field theory focus issue","Aniceto, Ines; Grassi, Alba; Lustri, Christopher J.","","","","JOURNAL OF PHYSICS A-MATHEMATICAL AND THEORETICAL","FEB 16 2024","2024","57","7","","","","","","070301","10.1088/1751-8121/ad1b76","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
