"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","Affiliations","Authors with affiliations","Funding Details","Correspondence Address","Publisher","ISSN","ISBN","CODEN","Document Type","Open Access","Source","EID"
"Inavalli V.V.G.K.; Puente Muñoz V.; Draffin J.E.; Tønnesen J.","Inavalli, V. V. G. Krishna (26640461600); Puente Muñoz, Virginia (56850348400); Draffin, Jonathan E. (56410827600); Tønnesen, Jan (7003902757)","26640461600; 56850348400; 56410827600; 7003902757","Fluorescence microscopy shadow imaging for neuroscience","2024","Frontiers in Cellular Neuroscience","10.3389/fncel.2024.1330100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186247401&doi=10.3389%2ffncel.2024.1330100&partnerID=40&md5=d57d29295e6a349bde6b6fe60c7840d5","Center for Cancer Immunology, University of Southampton, Southampton, United Kingdom; Department of Neurosciences, Faculty of Medicine and Nursing, University of the Basque Country (UPV/EHU), Leioa, Spain; Neuronal Excitability Lab, Achucarro Basque Center for Neuroscience, Leioa, Spain; Aligning Science Across Parkinson’s (ASAP), Collaborative Research Network, Chevy Chase, MD, United States; Instituto Biofisika (CSIC/UPV), Leioa, Spain","Inavalli V.V.G.K., Center for Cancer Immunology, University of Southampton, Southampton, United Kingdom; Puente Muñoz V., Department of Neurosciences, Faculty of Medicine and Nursing, University of the Basque Country (UPV/EHU), Leioa, Spain, Neuronal Excitability Lab, Achucarro Basque Center for Neuroscience, Leioa, Spain; Draffin J.E., Neuronal Excitability Lab, Achucarro Basque Center for Neuroscience, Leioa, Spain, Aligning Science Across Parkinson’s (ASAP), Collaborative Research Network, Chevy Chase, MD, United States; Tønnesen J., Department of Neurosciences, Faculty of Medicine and Nursing, University of the Basque Country (UPV/EHU), Leioa, Spain, Neuronal Excitability Lab, Achucarro Basque Center for Neuroscience, Leioa, Spain, Aligning Science Across Parkinson’s (ASAP), Collaborative Research Network, Chevy Chase, MD, United States, Instituto Biofisika (CSIC/UPV), Leioa, Spain","European Union’s Horizon Europe research and innovation programme, (101067304); National Science Foundation, NSF; National Institutes of Health, NIH; Euskal Herriko Unibertsitatea, EHU, (ASAP-020505, GIU21/048); Ministerio de Ciencia e Innovación, MICINN, (PCI2022-135040-2, PID2020-113894RB-I00); Agencia Estatal de Investigación, AEI","J. Tønnesen; Department of Neurosciences, Faculty of Medicine and Nursing, University of the Basque Country (UPV/EHU), Leioa, Spain; email: tonnesen@csic.es","Frontiers Media SA","16625102","","","Review","All Open Access; Gold Open Access","Scopus","2-s2.0-85186247401"
"Spencer L.; Leonard N.; Jessiman P.; Kaluževičiūtė-Moreton G.; Limmer M.; Kidger J.","Spencer, Liam (57204183599); Leonard, Naomi (57554957200); Jessiman, Patricia (55247460800); Kaluževičiūtė-Moreton, Greta (58639613900); Limmer, Mark (35292708200); Kidger, Judi (8841757200)","57204183599; 57554957200; 55247460800; 58639613900; 35292708200; 8841757200","Exploring the feasibility of using Participatory Action Research (PAR) as a mechanism for school culture change to improve mental health","2024","Pastoral Care in Education","10.1080/02643944.2024.2323134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186435443&doi=10.1080%2f02643944.2024.2323134&partnerID=40&md5=448ed55f8b73963eee03ad8574c5ad58","Population Health Sciences Institute, Newcastle University, Newcastle upon Tyne, United Kingdom; MRC Lifecourse Epidemiology Centre, University of Southampton, Southampton, United Kingdom; Bristol Population Health Science Institute, University of Bristol, Bristol, United Kingdom; Institute of Psychology, Vilnius University, Vilnius, Lithuania; Faculty of Health and Medicine, Lancaster University, Lancaster, United Kingdom","Spencer L., Population Health Sciences Institute, Newcastle University, Newcastle upon Tyne, United Kingdom; Leonard N., MRC Lifecourse Epidemiology Centre, University of Southampton, Southampton, United Kingdom; Jessiman P., Bristol Population Health Science Institute, University of Bristol, Bristol, United Kingdom; Kaluževičiūtė-Moreton G., Institute of Psychology, Vilnius University, Vilnius, Lithuania; Limmer M., Faculty of Health and Medicine, Lancaster University, Lancaster, United Kingdom; Kidger J., Bristol Population Health Science Institute, University of Bristol, Bristol, United Kingdom","","L. Spencer; Population Health Sciences Institute, Newcastle University, Newcastle upon Tyne, United Kingdom; email: liam.spencer1@newcastle.ac.uk","Routledge","02643944","","","Article","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85186435443"
"Vishwakarma S.; Chetty K.; Le Kernec J.; Chen Q.; Adve R.; Gurbuz S.Z.; Li W.; Ram S.S.; Fioranelli F.","Vishwakarma, Shelly (57194609962); Chetty, Kevin (34867832000); Le Kernec, Julien (36104247400); Chen, Qingchao (56939438700); Adve, Raviraj (7004221282); Gurbuz, Sevgi Zubeyde (58867006900); Li, Wenda (57190582547); Ram, Shobha Sundar (23566945100); Fioranelli, Francesco (55574564400)","57194609962; 34867832000; 36104247400; 56939438700; 7004221282; 58867006900; 57190582547; 23566945100; 55574564400","Guest Editorial: Advances in AI-assisted radar sensing applications","2024","IET Radar, Sonar and Navigation","10.1049/rsn2.12544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184165173&doi=10.1049%2frsn2.12544&partnerID=40&md5=d8ce4a6c05eee285e68784e227d5505a","Digital Health & Biomedical Engineering Group, University of Southampton, Southampton, United Kingdom; University College, London, United Kingdom; School of Engineering in the Autonomous Systems & Connectivity Group, University of Glasgow, Glasgow, United Kingdom; National Institute of Health Data Science, Peking University, Beijing, China; University of Toronto, Toronto, ON, Canada; Department of Electrical and Computer Engineering, University of Alabama, Tuscaloosa, AL, United States; Institute of Sensors, Signals and Systems, Heriot Watt University, Edinburgh, United Kingdom; Department of Electronics and Communications. Engineering, Indraprastha Institute of Information Technology, New Delhi, India; TU Delft, Delft, Netherlands","Vishwakarma S., Digital Health & Biomedical Engineering Group, University of Southampton, Southampton, United Kingdom; Chetty K., University College, London, United Kingdom; Le Kernec J., School of Engineering in the Autonomous Systems & Connectivity Group, University of Glasgow, Glasgow, United Kingdom; Chen Q., National Institute of Health Data Science, Peking University, Beijing, China; Adve R., University of Toronto, Toronto, ON, Canada; Gurbuz S.Z., Department of Electrical and Computer Engineering, University of Alabama, Tuscaloosa, AL, United States; Li W., Institute of Sensors, Signals and Systems, Heriot Watt University, Edinburgh, United Kingdom; Ram S.S., Department of Electronics and Communications. Engineering, Indraprastha Institute of Information Technology, New Delhi, India; Fioranelli F., TU Delft, Delft, Netherlands","","S. Vishwakarma; Digital Health & Biomedical Engineering Group, University of Southampton, Southampton, United Kingdom; email: s.vishwakarma@soton.ac.uk","John Wiley and Sons Inc","17518784","","","Editorial","All Open Access; Gold Open Access","Scopus","2-s2.0-85184165173"
"Austin T.; Connolly D.; Dinwiddy K.; Hart A.R.; Heep A.; Harigopal S.; Joy H.; Luyt K.; Malamateniou C.; Merchant N.; Rizava C.; Rutherford M.A.; Spike K.; Vollmer B.; Boardman J.P.","Austin, Topun (57204953001); Connolly, Daniel (58902247100); Dinwiddy, Kate (57909513700); Hart, Anthony Richard (55790572700); Heep, Axel (23049849100); Harigopal, Sundeep (35233598700); Joy, Harriet (6603481669); Luyt, Karen (8762496400); Malamateniou, Christina (6504492094); Merchant, Nazakat (57192384925); Rizava, Chrysoula (57024027900); Rutherford, Mary A (55165088800); Spike, Kelly (57195347116); Vollmer, B. (7003528920); Boardman, James P (57204151562)","57204953001; 58902247100; 57909513700; 55790572700; 23049849100; 35233598700; 6603481669; 8762496400; 6504492094; 57192384925; 57024027900; 55165088800; 57195347116; 7003528920; 57204151562","Neonatal brain magnetic resonance imaging: Clinical indications, acquisition and reporting","2024","Archives of Disease in Childhood: Fetal and Neonatal Edition","10.1136/archdischild-2023-326747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185805685&doi=10.1136%2farchdischild-2023-326747&partnerID=40&md5=f4a371a9e9b31b3ce8b15caf2957ecbc","Neonatal Unit, Cambridge University Hospitals NHS Foundation Trust, Cambridge, United Kingdom; University of Cambridge, Cambridge, United Kingdom; Department of Neuroradiology, Sheffield Children's Hospital NHS Foundation Trust, Sheffield, United Kingdom; British Association of Perinatal Medicine, Royal College of Paediatrics and Child Health, London, United Kingdom; Paediatric Neurology, King's College London, London, United Kingdom; University of Bristol, Medical School, Bristol, United Kingdom; Neonatal Intensive Care, Royal Victoria Infirmary, Newcastle upon Tyne, United Kingdom; Department of Neuroradiology, University Hospital Southampton NHS Foundation Trust, Southampton, United Kingdom; Bristol Medical School, University of Bristol, Bristol, United Kingdom; Department of Midwifery and Radiography, City University of London, London, United Kingdom; Neonatal Unit, Watford General Hospital, Watford, United Kingdom; Sheffield Children's Hospital, Sheffield, United Kingdom; Division of Imaging Sciences, King's College London, London, United Kingdom; Cambridge University Hospitals NHS Foundation Trust, Cambridge, United Kingdom; Clinical and Experimental Sciences, University of Southampton, Faculty of Medicine, Southampton, United Kingdom; Neonatal and Paediatric Neurology, Southampton Children's Hospital, Southampton, United Kingdom; Institute for Regeneration and Repair, University of Edinburgh, Division of Reproductive and Developmental Sciences, Edinburgh, United Kingdom","Austin T., Neonatal Unit, Cambridge University Hospitals NHS Foundation Trust, Cambridge, United Kingdom, University of Cambridge, Cambridge, United Kingdom; Connolly D., Department of Neuroradiology, Sheffield Children's Hospital NHS Foundation Trust, Sheffield, United Kingdom; Dinwiddy K., British Association of Perinatal Medicine, Royal College of Paediatrics and Child Health, London, United Kingdom; Hart A.R., Paediatric Neurology, King's College London, London, United Kingdom; Heep A., University of Bristol, Medical School, Bristol, United Kingdom; Harigopal S., Neonatal Intensive Care, Royal Victoria Infirmary, Newcastle upon Tyne, United Kingdom; Joy H., Department of Neuroradiology, University Hospital Southampton NHS Foundation Trust, Southampton, United Kingdom; Luyt K., Bristol Medical School, University of Bristol, Bristol, United Kingdom; Malamateniou C., Department of Midwifery and Radiography, City University of London, London, United Kingdom; Merchant N., Neonatal Unit, Watford General Hospital, Watford, United Kingdom; Rizava C., Sheffield Children's Hospital, Sheffield, United Kingdom; Rutherford M.A., Division of Imaging Sciences, King's College London, London, United Kingdom; Spike K., Cambridge University Hospitals NHS Foundation Trust, Cambridge, United Kingdom; Vollmer B., Clinical and Experimental Sciences, University of Southampton, Faculty of Medicine, Southampton, United Kingdom, Neonatal and Paediatric Neurology, Southampton Children's Hospital, Southampton, United Kingdom; Boardman J.P., Institute for Regeneration and Repair, University of Edinburgh, Division of Reproductive and Developmental Sciences, Edinburgh, United Kingdom","","T. Austin; Neonatal Unit, Cambridge University Hospitals NHS Foundation Trust, Cambridge, United Kingdom; email: ta338@cam.ac.uk","BMJ Publishing Group","13592998","","ADCHA","Article","","Scopus","2-s2.0-85185805685"
"Cobb S.","Cobb, Shelley (37664509400)","37664509400","Adaptation, authorship and the critical conversations of Little Fires Everywhere","2024","New Review of Film and Television Studies","10.1080/17400309.2023.2264711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186191193&doi=10.1080%2f17400309.2023.2264711&partnerID=40&md5=900534bf2aa04984734cd19615976bd8","Film Studies, University of Southampton, Southampton, United Kingdom","Cobb S., Film Studies, University of Southampton, Southampton, United Kingdom","University of Southampton","S. Cobb; Film Studies, University of Southampton, Southampton, United Kingdom; email: s.cobb@soton.ac.uk","Routledge","17400309","","","Article","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85186191193"
"Macedo-da-Silva J.; Rosa-Fernandes L.; Santiago V.F.; Blanes C.A.; Marie S.K.N.; Palmisano G.","Macedo-da-Silva, Janaina (57218483398); Rosa-Fernandes, Livia (57189599772); Santiago, Verônica Feijoli (57208054960); Blanes, Claudia Angeli (58920695500); Marie, Suely Kazue Nagahashi (35355537300); Palmisano, Giuseppe (35912423800)","57218483398; 57189599772; 57208054960; 58920695500; 35355537300; 35912423800","Mass Spectrometry-Based Characterization of Protein Aggregates in Tissues and Biofluids","2024","Advances in experimental medicine and biology","10.1007/978-3-031-50624-6_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186749599&doi=10.1007%2f978-3-031-50624-6_14&partnerID=40&md5=bb3e7cb87f3aec51599a2629ad4a77c8","GlycoProteomics Laboratory, Department of Parasitology, ICB, University of São Paulo, São Paulo, Brazil; Centre for Motor Neuron Disease Research, Faculty of Medicine, Health & Human Sciences, Macquarie Medical School, Sydney, Australia; School of Human Development and Health, Faculty of Medicine, University of Southampton, Southampton, United Kingdom; Laboratory of Molecular and Cellular Biology (LIM 15), Department of Neurology, Faculdade de Medicina FMUSP, Universidade de São Paulo, São Paulo, Brazil; School of Natural Sciences, Macquarie University, Sydney, Australia","Macedo-da-Silva J., GlycoProteomics Laboratory, Department of Parasitology, ICB, University of São Paulo, São Paulo, Brazil, Centre for Motor Neuron Disease Research, Faculty of Medicine, Health & Human Sciences, Macquarie Medical School, Sydney, Australia; Rosa-Fernandes L., GlycoProteomics Laboratory, Department of Parasitology, ICB, University of São Paulo, São Paulo, Brazil, Centre for Motor Neuron Disease Research, Faculty of Medicine, Health & Human Sciences, Macquarie Medical School, Sydney, Australia; Santiago V.F., School of Human Development and Health, Faculty of Medicine, University of Southampton, Southampton, United Kingdom; Blanes C.A., GlycoProteomics Laboratory, Department of Parasitology, ICB, University of São Paulo, São Paulo, Brazil; Marie S.K.N., Laboratory of Molecular and Cellular Biology (LIM 15), Department of Neurology, Faculdade de Medicina FMUSP, Universidade de São Paulo, São Paulo, Brazil; Palmisano G., GlycoProteomics Laboratory, Department of Parasitology, ICB, University of São Paulo, São Paulo, Brazil, School of Natural Sciences, Macquarie University, Sydney, Australia","","","","00652598","","","Article","","Scopus","2-s2.0-85186749599"
"Tang L.-J.; Sun D.-Q.; Song S.J.; Yip T.C.-F.; Wong G.L.-H.; Zhu P.-W.; Chen S.-D.; Karsdal M.; Leeming D.J.; Jiang P.; Wang C.; Chen Q.; Byrne C.D.; Targher G.; Eslam M.; George J.; Wong V.W.-S.; Zheng M.-H.","Tang, Liang-Jie (57219989868); Sun, Dan-Qin (56921043300); Song, Sherlot Juan (58202287700); Yip, Terry Cheuk-Fung (56735801400); Wong, Grace Lai-Hung (9248570900); Zhu, Pei-Wu (57200395038); Chen, Sui-Dan (57222483602); Karsdal, Morten (6602506854); Leeming, Diana Julie (12798086700); Jiang, Pei (57393697800); Wang, Cong (57904306200); Chen, Qiang (58842910200); Byrne, Christopher D. (55603698800); Targher, Giovanni (7003689424); Eslam, Mohammed (57190843475); George, Jacob (7403558157); Wong, Vincent Wai-Sun (57203018164); Zheng, Ming-Hua (35235778200)","57219989868; 56921043300; 58202287700; 56735801400; 9248570900; 57200395038; 57222483602; 6602506854; 12798086700; 57393697800; 57904306200; 58842910200; 55603698800; 7003689424; 57190843475; 7403558157; 57203018164; 35235778200","Serum PRO-C3 is useful for risk prediction and fibrosis assessment in MAFLD with chronic kidney disease in an Asian cohort","2024","Liver International","10.1111/liv.15878","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186233895&doi=10.1111%2fliv.15878&partnerID=40&md5=0281dd99a70a6233118c7d589fb83788","MAFLD Research Center, Department of Hepatology, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China; Cancer Center, Faculty of Health Sciences, University of Macau, SAR, Taipa, Macao; Department of Nephrology, Jiangnan University Medical Center, Wuxi, China; Affiliated Wuxi Clinical College of Nantong University, Wuxi, China; Department of Medicine and Therapeutics, The Chinese University of Hong Kong, Hong Kong; State Key Laboratory of Digestive Disease, The Chinese University of Hong Kong, Hong Kong; Department of Laboratory Medicine, the First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China; Department of Pathology, the First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China; Nordic Bioscience Biomarkers and Research A/S, Herlev, Denmark; Fosun Diagnostics (Shanghai) Co., Ltd, Shanghai, China; MOE Frontier Science Centre for Precision Oncology, University of Macau, SAR, Taipa, Macao; Southampton National Institute for Health and Care Research, Biomedical Research Centre, University of Southampton and University Hospital Southampton, Southampton, United Kingdom; Department of Medicine, University of Verona, Verona, Italy; IRCCS Sacro Cuore Don Calabria Hospital, Negrar di Valpolicella, Italy; Storr Liver Centre, Westmead Institute for Medical Research, Westmead Hospital, Westmead, NSW, Australia; University of Sydney, Sydney, NSW, Australia; Institute of Hepatology, Wenzhou Medical University, Wenzhou, China; Key Laboratory of Diagnosis and Treatment for the Development of Chronic Liver Disease in Zhejiang Province, Wenzhou, China","Tang L.-J., MAFLD Research Center, Department of Hepatology, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China, Cancer Center, Faculty of Health Sciences, University of Macau, SAR, Taipa, Macao; Sun D.-Q., Department of Nephrology, Jiangnan University Medical Center, Wuxi, China, Affiliated Wuxi Clinical College of Nantong University, Wuxi, China; Song S.J., Department of Medicine and Therapeutics, The Chinese University of Hong Kong, Hong Kong, State Key Laboratory of Digestive Disease, The Chinese University of Hong Kong, Hong Kong; Yip T.C.-F., Department of Medicine and Therapeutics, The Chinese University of Hong Kong, Hong Kong, State Key Laboratory of Digestive Disease, The Chinese University of Hong Kong, Hong Kong; Wong G.L.-H., Department of Medicine and Therapeutics, The Chinese University of Hong Kong, Hong Kong, State Key Laboratory of Digestive Disease, The Chinese University of Hong Kong, Hong Kong; Zhu P.-W., Department of Laboratory Medicine, the First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China; Chen S.-D., Department of Pathology, the First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China; Karsdal M., Nordic Bioscience Biomarkers and Research A/S, Herlev, Denmark; Leeming D.J., Nordic Bioscience Biomarkers and Research A/S, Herlev, Denmark; Jiang P., Fosun Diagnostics (Shanghai) Co., Ltd, Shanghai, China; Wang C., Fosun Diagnostics (Shanghai) Co., Ltd, Shanghai, China; Chen Q., Cancer Center, Faculty of Health Sciences, University of Macau, SAR, Taipa, Macao, MOE Frontier Science Centre for Precision Oncology, University of Macau, SAR, Taipa, Macao; Byrne C.D., Southampton National Institute for Health and Care Research, Biomedical Research Centre, University of Southampton and University Hospital Southampton, Southampton, United Kingdom; Targher G., Department of Medicine, University of Verona, Verona, Italy, IRCCS Sacro Cuore Don Calabria Hospital, Negrar di Valpolicella, Italy; Eslam M., Storr Liver Centre, Westmead Institute for Medical Research, Westmead Hospital, Westmead, NSW, Australia, University of Sydney, Sydney, NSW, Australia; George J., Storr Liver Centre, Westmead Institute for Medical Research, Westmead Hospital, Westmead, NSW, Australia, University of Sydney, Sydney, NSW, Australia; Wong V.W.-S., Department of Medicine and Therapeutics, The Chinese University of Hong Kong, Hong Kong, State Key Laboratory of Digestive Disease, The Chinese University of Hong Kong, Hong Kong; Zheng M.-H., MAFLD Research Center, Department of Hepatology, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China, Institute of Hepatology, Wenzhou Medical University, Wenzhou, China, Key Laboratory of Diagnosis and Treatment for the Development of Chronic Liver Disease in Zhejiang Province, Wenzhou, China","Department of Public Health in Zhejiang Province, (S2032102600032); Macau, (0058/2022/A1, 0087/2022/A2); Ministry of Education Frontiers Science Centre for Precision Oncology, University of Macau; Robert W. Storr Bequest; Sydney Medical Foundation; School of Medicine, University of Virginia, UVA SoM; National Health and Medical Research Council, NHMRC, (APP1053206, APP1107178, APP1108422, APP1196492, APP2001692); University of Sydney, USYD; National Natural Science Foundation of China, NSFC, (81401978, 82000690, 82070588, 82370577); Science and Technology Development Fund, STDF; Chinese University of Hong Kong, CUHK, (2022.031); National Institute for Health Research Southampton Biomedical Research Centre, NIHR SCBR, (NIHR203319)","M.-H. Zheng; MAFLD Research Center, Department of Hepatology, The First Affiliated Hospital of Wenzhou Medical University, Wenzhou, China; email: zhengmh@wmu.edu.cn; V.W.-S. Wong; Department of Medicine and Therapeutics, The Chinese University of Hong Kong, Hong Kong; email: wongv@cuhk.edu.hk","John Wiley and Sons Inc","14783223","","LIINC","Article","","Scopus","2-s2.0-85186233895"
"Hussain N.; Clark A.; Innes A.","Hussain, Nazmul (58919063400); Clark, Andrew (7404479425); Innes, Anthea (26867802000)","58919063400; 7404479425; 26867802000","Cultural Myths, Superstitions, and Stigma Surrounding Dementia in a UK Bangladeshi Community","2024","Health and Social Care in the Community","10.1155/2024/8823063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186644715&doi=10.1155%2f2024%2f8823063&partnerID=40&md5=b47af38ced070bd917070f499f5c854f","School of Health Sciences, University of Southampton, Southampton, B67, SO17 1BJ, United Kingdom; Institute for Life Course Development, Dreadnought Building, Greenwich Campus, University of Greenwich, London, United Kingdom; Health Aging and Society, Gilbrea Centre for Studies in Aging, Faculty of Social Sciences, McMaster University, 1280 Main Street West, Hamilton, L8S 4M4, ON, Canada","Hussain N., School of Health Sciences, University of Southampton, Southampton, B67, SO17 1BJ, United Kingdom; Clark A., Institute for Life Course Development, Dreadnought Building, Greenwich Campus, University of Greenwich, London, United Kingdom; Innes A., Health Aging and Society, Gilbrea Centre for Studies in Aging, Faculty of Social Sciences, McMaster University, 1280 Main Street West, Hamilton, L8S 4M4, ON, Canada","","N. Hussain; School of Health Sciences, University of Southampton, Southampton, B67, SO17 1BJ, United Kingdom; email: m.n.hussain@soton.ac.uk","Wiley-Hindawi","09660410","","","Article","All Open Access; Gold Open Access","Scopus","2-s2.0-85186644715"
"Brown A.; Ferrando-Vivas P.; Popa M.; de la Fuente G.M.; Pappachan J.; Cuthbertson B.H.; Drikite L.; Feltbower R.; Gouliouris T.; Sale I.; Shulman R.; Tume L.N.; Myburgh J.; Woolfall K.; Harrison D.A.; Mouncey P.R.; Rowan K.; Pathan N.","Brown, Alanna (57701293400); Ferrando-Vivas, Paloma (6508076931); Popa, Mariana (57208834865); de la Fuente, Gema Milla (57488756700); Pappachan, John (6507744146); Cuthbertson, Brian H. (7003675957); Drikite, Laura (57218413485); Feltbower, Richard (6603367987); Gouliouris, Theodore (34067564200); Sale, Isobel (57488831900); Shulman, Robert (57210710492); Tume, Lyvonne N. (23475954100); Myburgh, John (58796840300); Woolfall, Kerry (23037781100); Harrison, David A. (35279884900); Mouncey, Paul R. (12795667000); Rowan, Kathryn (57193881918); Pathan, Nazima (6603511745)","57701293400; 6508076931; 57208834865; 57488756700; 6507744146; 7003675957; 57218413485; 6603367987; 34067564200; 57488831900; 57210710492; 23475954100; 58796840300; 23037781100; 35279884900; 12795667000; 57193881918; 6603511745","Use of selective gut decontamination in critically ill children: PICnIC a pilot RCT and mixed-methods study","2024","Health Technology Assessment","10.3310/HDKV1008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186454884&doi=10.3310%2fHDKV1008&partnerID=40&md5=605627d8608361ff334c7bda58d1dc69","Clinical Trials Unit, Intensive Care National Audit and Research Centre, London, United Kingdom; Department of Public Health, Policy and Systems, University of Liverpool, Liverpool, United Kingdom; Paediatric Intensive Care Unit, Southampton Children’s Hospital, University of Southampton, Southampton, United Kingdom; Department of Critical Care Medicine, Sunnybrook Health Sciences Centre, Toronto, Canada; PICANet, Division of Epidemiology, University of Leeds, Leeds, United Kingdom; Clinical Microbiology and Public Health Laboratory, Addenbrooke’s Hospital, Cambridge University Hospital NHS Foundation Trust, Cambridge, United Kingdom; PPI representative, United Kingdom; Department of Pharmacy, University College London Hospitals NHS Foundation Trust, London, United Kingdom; Intensive Care Unit, Alder Hey Children’s NHS Foundation Trust Liverpool, Liverpool, United Kingdom; George Institute for Global Health, Faculty of Medicine, University of New South Wales, Sydney, Australia; Department of Paediatrics, University of Cambridge, Addenbrooke’s Hospital, Cambridge, United Kingdom","Brown A., Clinical Trials Unit, Intensive Care National Audit and Research Centre, London, United Kingdom; Ferrando-Vivas P., Clinical Trials Unit, Intensive Care National Audit and Research Centre, London, United Kingdom; Popa M., Department of Public Health, Policy and Systems, University of Liverpool, Liverpool, United Kingdom; de la Fuente G.M., Clinical Trials Unit, Intensive Care National Audit and Research Centre, London, United Kingdom; Pappachan J., Paediatric Intensive Care Unit, Southampton Children’s Hospital, University of Southampton, Southampton, United Kingdom; Cuthbertson B.H., Department of Critical Care Medicine, Sunnybrook Health Sciences Centre, Toronto, Canada; Drikite L., Clinical Trials Unit, Intensive Care National Audit and Research Centre, London, United Kingdom; Feltbower R., PICANet, Division of Epidemiology, University of Leeds, Leeds, United Kingdom; Gouliouris T., Clinical Microbiology and Public Health Laboratory, Addenbrooke’s Hospital, Cambridge University Hospital NHS Foundation Trust, Cambridge, United Kingdom; Sale I., PPI representative, United Kingdom; Shulman R., Department of Pharmacy, University College London Hospitals NHS Foundation Trust, London, United Kingdom; Tume L.N., Intensive Care Unit, Alder Hey Children’s NHS Foundation Trust Liverpool, Liverpool, United Kingdom; Myburgh J., George Institute for Global Health, Faculty of Medicine, University of New South Wales, Sydney, Australia; Woolfall K., Department of Public Health, Policy and Systems, University of Liverpool, Liverpool, United Kingdom; Harrison D.A., Clinical Trials Unit, Intensive Care National Audit and Research Centre, London, United Kingdom; Mouncey P.R., Clinical Trials Unit, Intensive Care National Audit and Research Centre, London, United Kingdom; Rowan K., Clinical Trials Unit, Intensive Care National Audit and Research Centre, London, United Kingdom; Pathan N., Department of Paediatrics, University of Cambridge, Addenbrooke’s Hospital, Cambridge, United Kingdom","National Institute for Health and Care Research, NIHR; Health Technology Assessment Programme, HTA, (16/152/01)","N. Pathan; Department of Paediatrics, University of Cambridge, Addenbrooke’s Hospital, Cambridge, United Kingdom; email: np409@cam.ac.uk","NIHR Journals Library","13665278","","HTASF","Article","All Open Access; Bronze Open Access","Scopus","2-s2.0-85186454884"
"Pan D.; Long G.; Yin L.; Sheng Y.; Ruan D.; Ng S.X.; Lu J.; Hanzo L.","Pan, Dong (57214442180); Long, Gui-Lu (7402510524); Yin, Liuguo (7203060512); Sheng, Yu-Bo (24069371400); Ruan, Dong (7004456369); Ng, Soon Xin (57203646792); Lu, Jianhua (58908026300); Hanzo, Lajos (36043733600)","57214442180; 7402510524; 7203060512; 24069371400; 7004456369; 57203646792; 58908026300; 36043733600","The Evolution of Quantum Secure Direct Communication: On the Road to the Qinternet","2024","IEEE Communications Surveys and Tutorials","10.1109/COMST.2024.3367535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186094972&doi=10.1109%2fCOMST.2024.3367535&partnerID=40&md5=ea4eb7e24c752537f5930fc1051dec7b","Beijing Academy of Quantum Information Sciences, Beijing, China; Beijing National Research Center for Information Science and Technology, Frontier Science Center for Quantum Information, Beijing, China; Institute of Quantum Information and Technology, College of Electronic and Optical Engineering and College of Flexible Electronics (Future Technology), Nanjing University of Posts and Telecommunications, Nanjing, China; State Key Laboratory of Low-dimensional Quantum Physics and Department of Physics, Tsinghua University, Beijing, China; School of Electronics and Computer Science, University of Southampton, Southampton, United Kingdom","Pan D., Beijing Academy of Quantum Information Sciences, Beijing, China; Long G., Beijing Academy of Quantum Information Sciences, Beijing, China; Yin L., Beijing National Research Center for Information Science and Technology, Frontier Science Center for Quantum Information, Beijing, China; Sheng Y., Institute of Quantum Information and Technology, College of Electronic and Optical Engineering and College of Flexible Electronics (Future Technology), Nanjing University of Posts and Telecommunications, Nanjing, China; Ruan D., State Key Laboratory of Low-dimensional Quantum Physics and Department of Physics, Tsinghua University, Beijing, China; Ng S.X., School of Electronics and Computer Science, University of Southampton, Southampton, United Kingdom; Lu J., Beijing Academy of Quantum Information Sciences, Beijing, China; Hanzo L., School of Electronics and Computer Science, University of Southampton, Southampton, United Kingdom","","","Institute of Electrical and Electronics Engineers Inc.","1553877X","","","Article","","Scopus","2-s2.0-85186094972"
